date_found,company,title,lane,location,comp,score,status,apply_url,gmail_draft,notes
2026-06-27,EPAM Systems,"Director, Client Partner, Cybersecurity",A,Remote,"$150K-$233K",58,REJECTED_LOWCOMP,https://to.indeed.com/aa4np74wyvlp,,Comp ceiling below $300K floor; client-partner/sales-leaning. Hold unless they flex on comp.
2026-06-27,CO Management,"COO – Convenience Store & Fuel Operations",C,"Dallas, TX","$100K-$120K",40,REJECTED_LOWCOMP,https://to.indeed.com/aayqsqgw7x9g,,Local DFW COO but far below comp floor and off-domain.
2026-06-27,Kalehua Capital,"Director of Finance → CFO/COO Track",C,"Dallas, TX","From $90K",38,REJECTED_LOWCOMP,https://to.indeed.com/aakj97bxltcc,,COO-track but finance-first and below floor.
2026-06-27,WellBe Senior Medical,"VP Market Operations (Hybrid)",D,Remote,"$178K-$250K",62,WATCH,https://to.indeed.com/aalpm8fsrr27,,Healthcare ops VP - good fit but comp tops out below $300K floor. Worth a tailored reach if they flex on total comp/equity.
2026-06-27,Amgen,"Strategic Planning & Operations Director (Rare Disease)",D,Remote,"$172K-$233K",60,WATCH,https://to.indeed.com/aaknnznf6xkn,,Strategy&Ops at a top-tier company; comp below floor at Director level. Use as a foot-in-door / network target for higher VP roles.
2026-06-27,Ceco Environmental,"VP & General Manager, Particulates",D,"Addison, TX","$120K-$187K",45,REJECTED_LOWCOMP,https://to.indeed.com/aatyyncjrdbj,,Local DFW GM title but off-domain and below floor.
2026-06-27,Fractional CISO,"vCISO Principal",B,Remote,"$80K-$400K range (fractional)",88,READY_EMAIL,https://fractionalciso.com/careers/vciso-principal/,"Email draft -> info@fractionalciso.com",PRIMARY. One-tap: attach resume + send. Tailored to vCISO Principal incl. 3 expertise areas per their ask.
2026-06-27,Meditology Services,"Healthcare vCISO",B,Remote,"fractional",86,READY_EMAIL,https://www.meditologyservices.com/about-us/careers/,"Email draft -> recruiting@meditologyservices.com",One-tap: attach resume + send. Strongest healthcare domain fit.
2026-06-27,Go Fractional,"Fractional Exec (talent network)",B,Remote,"set own rate",82,READY_EMAIL,https://www.gofractional.com/jobs,"Email draft -> hello@gofractional.com",One-tap: attach resume + send. Curated exec network; set own rate.
2026-06-27,SideChannel,"Fractional / Virtual CISO",B,Remote,"fractional",84,READY_FORM,https://sidechannel.com/about/careers/,Fractional Push draft,Web-form/contact-form only (no public careers email). Use staged copy.
2026-06-27,vCISO.com,"Senior vCISO Practitioner",B,Remote,"fractional",80,READY_FORM,https://www.vciso.com/careers,Fractional Push draft,Web-form only (site blocks bots). Use staged copy.
2026-06-27,Fractional Jobs,"Fractional CISO listings",B,Remote,"varies",75,READY_FORM,https://www.fractionaljobs.io/,Fractional Push draft,Job board to browse+apply per listing.
